cap1,cap2,cap3,cap4,X,Y
0.4797,0.95885,0.87747,0.95725,0.63765,1.8491
0.47737,0.974,0.91681,0.96472,0.63765,1.8491
0.47651,0.98195,0.94464,0.96984,0.64098,1.9024
0.47605,0.98312,0.95873,0.97143,0.64226,1.9655
0.47574,0.98039,0.96084,0.96898,0.64336,2.0056
0.47603,0.97827,0.95484,0.96434,0.64448,2.0251
0.47656,0.97905,0.9529,0.95929,0.64597,2.0412
0.47731,0.98345,0.94813,0.95577,0.76481,2.0466
0.47796,0.98939,0.94451,0.9542,0.74205,2.0617
0.47831,0.99502,0.94605,0.95399,0.69274,2.0858
0.47857,0.99853,0.94715,0.95346,0.63588,2.1224
0.47859,0.9999,0.94599,0.95047,0.60236,2.1319
0.47841,0.99971,0.94563,0.94301,0.59531,2.1083
0.47816,0.99893,0.94807,0.92818,0.61281,2.0757
0.47764,0.99874,0.95262,0.90215,0.6501,2.0192
0.47718,0.99995,0.95785,0.86618,0.67448,1.9622
0.47666,0.99114,0.9622,0.82842,0.67275,1.9114
0.47599,0.98583,0.96569,0.79195,0.65894,1.8559
0.47551,0.98767,0.96802,0.76011,0.63334,1.761
0.47538,0.98753,0.96953,0.73777,0.62596,1.6456
0.47529,0.98594,0.97092,0.72501,0.6317,1.5507
0.47544,0.98257,0.97266,0.72295,0.63416,1.4724
0.47564,0.97304,0.97371,0.72911,0.6341,1.379
0.47583,0.96587,0.97357,0.74516,0.62737,1.3176
0.47586,0.95821,0.97342,0.77216,0.60282,1.242
0.47564,0.95032,0.97052,0.80654,0.56964,1.1877
0.47553,0.94309,0.96873,0.84395,0.52169,1.1103
0.47578,0.93662,0.96657,0.87808,0.5006,1.0632
0.47653,0.93147,0.96595,0.90571,0.5087,1.0011
0.47735,0.93107,0.96505,0.92495,0.54019,0.9208
0.47798,0.93241,0.96461,0.93679,0.57178,0.86152
0.47812,0.93446,0.96438,0.94157,0.60067,0.78674
0.47747,0.93507,0.96361,0.94268,0.60634,0.73609
0.47591,0.93477,0.96274,0.94031,0.6019,0.6607
0.47423,0.9351,0.96179,0.93815,0.60455,0.80933
0.47176,0.9324,0.9567,0.93921,0.64585,0.64677
0.47073,0.9342,0.95554,0.94067,0.66127,0.73117
0.46914,0.93719,0.95439,0.94192,0.6879,0.81207
0.46721,0.93926,0.95328,0.9427,0.7294,0.85947
0.46554,0.93971,0.95213,0.94289,0.81672,0.91012
0.46463,0.93882,0.95104,0.94243,0.88836,0.93292
0.46511,0.93526,0.95021,0.94138,0.96416,0.96244
0.46678,0.93235,0.9495,0.94017,1.0031,0.99793
0.46909,0.93058,0.94899,0.93929,1.0238,1.054
0.47108,0.92798,0.94865,0.9394,1.0335,1.1256
0.47217,0.9256,0.94821,0.94053,1.0586,1.2212
0.47209,0.92306,0.94723,0.94232,1.1134,1.2872
0.4712,0.92104,0.94501,0.944,1.1627,1.3098
0.47043,0.92022,0.9413,0.94489,1.2512,1.3507
0.47049,0.92161,0.93616,0.94489,1.3104,1.3835
0.47156,0.92283,0.93017,0.94455,1.3486,1.4356
0.47316,0.92162,0.92439,0.94501,1.3946,1.5189
0.47491,0.91679,0.91953,0.94705,1.4264,1.567
0.47639,0.90943,0.91587,0.95105,1.4873,1.6398
0.47743,0.90088,0.91256,0.95599,1.5526,1.7006
0.47799,0.89415,0.90853,0.9606,1.6878,1.8045
0.47856,0.89001,0.9026,0.96325,1.739,1.8374
0.47926,0.88757,0.89493,0.96348,1.7409,1.8306
0.47998,0.88528,0.88644,0.96154,1.7833,1.8984
0.48038,0.88157,0.87904,0.95839,1.8163,1.9825
0.48032,0.87616,0.87444,0.95545,1.8473,2.0523
0.47987,0.86959,0.87357,0.95343,1.8881,2.1177
0.47924,0.86317,0.87697,0.95289,1.9465,2.1513
0.47879,0.85817,0.88319,0.95378,2.0219,2.165
0.47877,0.85582,0.89091,0.95539,2.0767,2.1785
0.4793,0.85622,0.89848,0.95699,2.1415,2.1968
0.4801,0.85736,0.90474,0.95816,2.2082,2.2274
0.4809,0.85778,0.90926,0.95865,2.2588,2.2475
0.48139,0.85382,0.91219,0.95908,2.3152,2.239
0.48152,0.84175,0.91452,0.95921,2.3289,2.2101
0.48134,0.81576,0.91699,0.95921,2.3132,2.1611
0.48095,0.76546,0.92008,0.95891,2.2839,2.0773
0.48045,0.68779,0.92342,0.95825,2.3681,2.0105
0.47979,0.58377,0.92638,0.95709,2.4004,1.927
0.47888,0.46024,0.92826,0.95535,2.3319,1.8584
0.47784,0.33726,0.92918,0.95378,2.3521,1.7871
0.47689,0.23402,0.92966,0.9529,2.3802,1.67
0.47641,0.1748,0.93067,0.95249,2.368,1.6101
0.47651,0.16557,0.93279,0.95274,2.3493,1.5021
0.47706,0.20637,0.93604,0.95282,2.334,1.3942
0.47762,0.29126,0.93994,0.95317,2.3247,1.3446
0.47768,0.39964,0.94363,0.95277,2.3364,1.261
0.47699,0.51664,0.94652,0.95072,2.3528,1.1934
0.47568,0.62621,0.94822,0.95044,2.3743,1.1137
0.47393,0.71769,0.949,0.94976,2.3716,1.047
0.47181,0.7868,0.94922,0.94852,2.3538,0.99638
0.46969,0.83211,0.94944,0.94659,2.314,0.90906
0.46758,0.85861,0.94961,0.94394,2.2902,0.84021
0.46525,0.87262,0.94973,0.94215,2.287,0.74579
0.46235,0.87822,0.94903,0.94278,2.2821,0.63668
0.45781,0.88059,0.94711,0.94521,2.2635,0.5567
0.44939,0.88162,0.94426,0.94901,2.2326,0.52609
0.43221,0.88273,0.94079,0.95259,2.1872,0.52151
0.40329,0.8842,0.93757,0.95457,2.1314,0.54163
0.36144,0.88613,0.93533,0.95433,2.081,0.55513
0.30835,0.88856,0.93494,0.95193,1.9478,0.55508
0.25361,0.89161,0.93566,0.94878,1.8565,0.54783
0.20714,0.89522,0.93693,0.94593,1.7155,0.52823
0.18174,0.89914,0.9386,0.94504,1.6278,0.51516
0.18073,0.90412,0.94101,0.94581,1.5362,0.5269
0.20303,0.90934,0.94252,0.94783,1.4536,0.54391
0.24429,0.91461,0.94362,0.95037,1.3243,0.56266
0.29236,0.92004,0.94417,0.95272,1.2348,0.55864
0.33959,0.92516,0.94478,0.9546,1.1458,0.53983
0.37967,0.9301,0.94494,0.95582,1.0679,0.40623
0.41093,0.93468,0.94513,0.95642,1.0491,0.3388
0.43394,0.93823,0.94584,0.9563,0.96167,0.42013
0.44912,0.93918,0.94617,0.95521,0.83894,0.61006
0.45928,0.9366,0.94622,0.95333,0.75451,0.69633
0.46583,0.93002,0.94677,0.95121,0.72297,0.73225
0.46982,0.9199,0.94599,0.95006,0.75279,0.70083
0.47245,0.9087,0.94583,0.94939,0.70173,0.73374
0.47425,0.8995,0.94611,0.94527,0.6348,0.77955
0.47549,0.89517,0.94631,0.92548,0.56733,0.85392
0.47637,0.89627,0.94577,0.87697,0.5505,0.91795
0.47698,0.90197,0.94423,0.79026,0.56025,1.012
0.47741,0.90943,0.94198,0.66192,0.57336,1.0826
0.47785,0.91709,0.93965,0.51574,0.57947,1.1788
0.47831,0.92326,0.9375,0.38049,0.5524,1.2866
0.47873,0.92586,0.93588,0.2959,0.52765,1.362
0.47902,0.92584,0.93421,0.27771,0.50873,1.449
0.47921,0.9241,0.9323,0.32482,0.50649,1.5089
0.47944,0.92054,0.93071,0.42278,0.5176,1.6035
0.47987,0.91623,0.92903,0.53672,0.53839,1.7132
0.48051,0.91359,0.92806,0.64424,0.55014,1.7899
0.48119,0.91119,0.92778,0.72901,0.53559,1.8696
0.48165,0.90993,0.92722,0.79132,0.50865,1.9444
0.48173,0.90945,0.92558,0.83527,0.48801,1.9953
0.4813,0.90885,0.92096,0.86516,0.48473,2.0591
0.4807,0.90799,0.91197,0.88646,0.52627,2.1437
0.48017,0.90768,0.89821,0.90125,0.57908,2.1892
0.47993,0.90966,0.87833,0.91074,0.64916,2.2134
0.47988,0.91244,0.85269,0.91706,0.70278,2.2239
0.47989,0.91533,0.82253,0.92147,0.73436,2.2477
0.4799,0.91811,0.79013,0.92415,0.79168,2.3119
0.47998,0.91909,0.75911,0.92584,0.82988,2.3576
0.48028,0.91768,0.73083,0.92669,0.87085,2.3994
0.48086,0.91418,0.70219,0.92718,0.90062,2.4158
0.48169,0.91222,0.66342,0.9279,0.94415,2.4205
0.48283,0.91187,0.60293,0.92949,0.9783,2.4056
0.4838,0.91264,0.50699,0.93242,1.018,2.3701
0.48433,0.91314,0.38161,0.936,1.0551,2.3544
0.48446,0.91419,0.24155,0.93952,1.0853,2.3623
0.48424,0.91591,0.11557,0.94232,1.1308,2.3858
0.48378,0.91841,0.030494,0.9435,1.1829,2.4241
0.48323,0.92162,0.00019141,0.94427,1.2527,2.4514
0.48273,0.92566,0.028728,0.94436,1.3204,2.4207
0.4823,0.92894,0.092508,0.94508,1.372,2.3934
0.48195,0.93002,0.1721,0.94711,1.4364,2.3659
0.48169,0.92787,0.25108,0.94924,1.5056,2.352
0.48154,0.92392,0.32277,0.95121,1.5861,2.3459
0.48149,0.91861,0.38989,0.95209,1.642,2.3486
0.4815,0.91276,0.45897,0.95148,1.7235,2.3739
0.48182,0.90893,0.53314,0.95032,1.8029,2.3959
0.4821,0.90684,0.61053,0.94861,1.8574,2.3993
0.4818,0.90624,0.68525,0.94751,1.8914,2.3913
0.48087,0.90615,0.75138,0.9477,1.9316,2.3698
0.47994,0.90581,0.80467,0.94968,1.9996,2.3237
0.47877,0.90439,0.8427,0.95308,2.0331,2.3065
0.47774,0.90159,0.86932,0.95625,2.0799,2.2893
0.47727,0.89723,0.88673,0.95898,2.0164,2.2857
0.47766,0.89078,0.89776,0.95989,2.0366,2.2855
0.47862,0.88072,0.90564,0.9596,2.1574,2.266
